2020-02-06 11:27:38,736 | TrainSaveModel | INFO | Scores in this order (precision, recall, fscore, accuracy) | 1.0 | 0.75 | 0.8571428571428571 | 0.8
2020-02-06 13:06:41,212 | TrainSaveModel | INFO | Scores in this order (precision, recall, fscore, accuracy) | 1.0 | 0.75 | 0.8571428571428571 | 0.8
2020-02-06 13:14:46,862 | TrainSaveModel | INFO | Scores in this order (precision, recall, fscore, accuracy) | 1.0 | 0.75 | 0.8571428571428571 | 0.8
2020-02-06 13:20:02,466 | TrainSaveModel | INFO | Scores in this order (precision, recall, fscore, accuracy) | 1.0 | 0.75 | 0.8571428571428571 | 0.8
2020-02-06 13:49:06,138 | TrainSaveModel | INFO | Scores in this order (precision, recall, fscore, accuracy) | 1.0 | 0.75 | 0.8571428571428571 | 0.8
2020-02-06 13:53:18,983 | TrainSaveModel | INFO | Scores in this order (precision, recall, fscore, accuracy) | 1.0 | 0.75 | 0.8571428571428571 | 0.8
2020-02-06 13:55:06,131 | TrainSaveModel | INFO | Scores in this order (precision, recall, fscore, accuracy) | 1.0 | 0.75 | 0.8571428571428571 | 0.8
2020-02-06 16:10:28,067 | TrainSaveModel | INFO | Scores in this order (precision, recall, fscore, accuracy) | 0.3048780487804878 | 0.6578947368421053 | 0.41666666666666663 | 0.7610921501706485
2020-02-06 16:10:28,106 | TrainSaveModel | INFO | Scores in this order (precision, recall, fscore, accuracy) | 1.0 | 0.75 | 0.8571428571428571 | 0.8
2020-02-06 16:14:14,375 | TrainSaveModel | INFO | Scores in this order (precision, recall, fscore, accuracy) | 0.3076923076923077 | 0.6086956521739131 | 0.40875912408759124 | 0.7235494880546075
2020-02-06 16:14:14,388 | TrainSaveModel | INFO | Scores in this order (precision, recall, fscore, accuracy) | 1.0 | 0.75 | 0.8571428571428571 | 0.8
2020-02-06 16:24:00,198 | TrainSaveModel | INFO | Scores in this order (precision, recall, fscore, accuracy) | 0.3 | 0.09090909090909091 | 0.13953488372093023 | 0.8737201365187713
2020-02-06 16:24:00,211 | TrainSaveModel | INFO | Scores in this order (precision, recall, fscore, accuracy) | 1.0 | 0.75 | 0.8571428571428571 | 0.8
2020-02-06 16:31:33,993 | TrainSaveModel | INFO | Scores in this order (precision, recall, fscore, accuracy) | 0.7777777777777778 | 0.38181818181818183 | 0.5121951219512196 | 0.863481228668942
2020-02-06 16:31:34,005 | TrainSaveModel | INFO | Scores in this order (precision, recall, fscore, accuracy) | 1.0 | 0.75 | 0.8571428571428571 | 0.8
2020-02-06 16:36:22,167 | TrainSaveModel | INFO | Scores in this order (precision, recall, fscore, accuracy) | 0.4838709677419355 | 0.3125 | 0.379746835443038 | 0.8327645051194539
2020-02-06 16:36:22,181 | TrainSaveModel | INFO | Scores in this order (precision, recall, fscore, accuracy) | 1.0 | 0.75 | 0.8571428571428571 | 0.8
2020-02-06 16:37:59,981 | TrainSaveModel | INFO | Scores in this order (precision, recall, fscore, accuracy) | 0.5 | 0.29545454545454547 | 0.37142857142857144 | 0.8498293515358362
2020-02-06 16:37:59,995 | TrainSaveModel | INFO | Scores in this order (precision, recall, fscore, accuracy) | 1.0 | 0.75 | 0.8571428571428571 | 0.8
2020-02-06 16:41:26,578 | TrainSaveModel | INFO | Scores in this order (precision, recall, fscore, accuracy) | 0.6153846153846154 | 0.32653061224489793 | 0.42666666666666664 | 0.8532423208191127
2020-02-06 16:41:26,631 | TrainSaveModel | INFO | Scores in this order (precision, recall, fscore, accuracy) | 1.0 | 0.75 | 0.8571428571428571 | 0.8
2020-02-06 16:49:34,058 | TrainSaveModel | INFO | Scores in this order (precision, recall, fscore, accuracy) | 0.6333333333333333 | 0.35185185185185186 | 0.4523809523809524 | 0.8430034129692833
2020-02-06 16:49:34,124 | TrainSaveModel | INFO | Scores in this order (precision, recall, fscore, accuracy) | 1.0 | 0.75 | 0.8571428571428571 | 0.8
2020-02-07 09:20:47,660 | __main__ | INFO | Scores in this order (precision, recall, fscore, accuracy) | 0.3238410328362001 | 0.6680284424540549 | 0.4362167122946739 | 0.6736912470712159
2020-02-07 10:12:17,556 | __main__ | INFO | Scores in this order (precision, recall, fscore, accuracy) | 0.32337224263640474 | 0.6631485113210911 | 0.43474771401744633 | 0.6734504171758982
2020-02-11 11:51:09,142 | TrainSaveModel | INFO | Scores in this order (precision, recall, fscore, accuracy) | 0.5652173913043478 | 0.2653061224489796 | 0.36111111111111116 | 0.8419243986254296
2020-02-11 11:51:09,208 | TrainSaveModel | INFO | Scores in this order (precision, recall, fscore, accuracy) | 1.0 | 0.75 | 0.8571428571428571 | 0.8
2020-02-11 14:50:40,525 | __main__ | INFO | Scores in this order (precision, recall, fscore, accuracy) | 0.32487929696997764 | 0.6666389489439548 | 0.43685972287093255 | 0.6749668636128772
2020-02-11 15:49:52,511 | TrainSaveModel | INFO | Scores in this order (precision, recall, fscore, accuracy) | 0.3645833333333333 | 0.7954545454545454 | 0.5 | 0.7594501718213058
2020-02-11 15:49:52,570 | TrainSaveModel | INFO | Scores in this order (precision, recall, fscore, accuracy) | 1.0 | 0.75 | 0.8571428571428571 | 0.8
2020-02-11 15:51:42,477 | TrainSaveModel | INFO | Scores in this order (precision, recall, fscore, accuracy) | 0.32 | 0.6956521739130435 | 0.4383561643835616 | 0.718213058419244
2020-02-11 15:51:42,530 | TrainSaveModel | INFO | Scores in this order (precision, recall, fscore, accuracy) | 1.0 | 0.75 | 0.8571428571428571 | 0.8
2020-02-12 13:40:23,475 | TrainSaveModel | INFO | Scores in this order (precision, recall, fscore, accuracy) | 0.32396621847384005 | 0.6666824734446131 | 0.43604276996797675 | 0.6734374087992708
